,31/08/2020,28/10/2020,20/11/2020,15/12/2020
Altitude,Time,Time,Time,Time
0,0,0,0,0
5,49,48,50,48
10,66,65,67,66
15,80,78,80,79
20,90,88,91,90
25,99,97,100,99
30,107,105,108,107
35,114,113,115,114
40,120,119,122,120
45,126,126,128,127
50,132,132,133,132
55,137,137,138,137
60,142,143,144,142
65,147,148,148,147
70,152,153,153,152
75,156,158,158,157
80,161,163,163,162
90,0,0,0,0
100,0,0,0,0
110,0,0,0,0
120,0,0,0,0
130,0,0,0,0
140,0,0,0,0
150,0,0,0,0
160,0,0,0,0
170,0,0,0,0
180,0,0,0,0
190,0,0,0,0
200,0,0,0,0
